seed_id,topic,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer_key,distractor_key,domain
M001,everyday_places,कुनै पनि व्यक्तिले सित्तैमा किताब लैजान पाउने दराजहरू सामान्यतया कहाँ पाइन्छ?,सुत्ने कोठा,सार्वजनिक पुस्तकालय,किताब पसल,पिँधको कोठा (अट्टिक),अदालत कक्ष,B,C,everyday_reasoning
M002,everyday_reasoning,एक विद्यार्थीले रातभर दूध बिग्रिनबाट जोगाउन चाहन्छ। दूध कहाँ राख्नुपर्छ?,झ्यालको छेउमा,फ्रिजभित्र,चुल्होको छेउमा,दराजभित्र,घामको तापमा,B,D,everyday_reasoning
M003,causal_commonsense,फलामको किला केही महिनासम्म बाहिर पानीमा छोडिदियो भने के हुने सम्भावना बढी हुन्छ?,खिया लाग्छ,पग्लिन्छ,वाष्पीकृत हुन्छ,बढ्छ,जम्छ,A,E,everyday_reasoning
M004,social_commonsense,कक्षामा एक विद्यार्थी ठूलो स्वरमा बोलिरहेको छ र अरूले शिक्षकको कुरा सुन्न सकिरहेका छैनन्। शिक्षकले पहिले सबैभन्दा उपयुक्त काम के गर्नुपर्छ?,विद्यार्थीलाई निकालिदिने,विनम्रतापूर्वक चुप लाग्न भन्ने,उल्टै कराउने,कक्षा रद्द गर्ने,सधैंको लागि बेवास्ता गर्ने,B,E,everyday_reasoning
M005,everyday_objects,बिरामी महसुस गरिरहेको व्यक्तिको तापक्रम नाप्न सामान्यतया के प्रयोग गरिन्छ?,ब्यारोमिटर,थर्मोमिटर,ओडोमिटर,प्रोट्र्याक्टर,स्टपवाच,B,A,everyday_reasoning
M006,everyday_reasoning,घमाइलो झरी परिरहेको छ र तपाईं कक्षामा हिँडेर जानुपर्छ। कुन वस्तु सबैभन्दा उपयोगी हुन्छ?,घामचस्मा,छाता,हातपंखा,स्कार्फ,सनस्क्रिन,B,D,everyday_reasoning
M007,causal_commonsense,पूर्ण अँध्यारो दराजमा दुई हप्तासम्म पानी दिइराखिएको बिरुवा कस्तो हुने सम्भावना बढी हुन्छ?,पहेंलो र कमजोर,पहिलेभन्दा हरियो,अग्लो र बलियो,फूलले भरिएको,उस्तै रहने,A,E,everyday_reasoning
M008,everyday_places,भाँचिएको हड्डी जाँच गराउन कहाँ जानुपर्छ?,फार्मेसी,अस्पताल,हुलाक कार्यालय,किराना पसल,व्यायामशाला,B,A,everyday_reasoning
M009,physical_commonsense,कुवाबाट घरसम्म पानी बोकेर ल्याउन चाहनुहुन्छ। कुन भाँडोले काम गर्छ?,छाल्नी,बाल्टिन,माछा मार्ने जाल,कागजको झोला,तारको डोको,B,D,everyday_reasoning
M010,social_commonsense,तपाईंको साथीले महत्त्वपूर्ण परीक्षामा फेल भएर दुःखी छ। सबैभन्दा दयालु तत्काल प्रतिक्रिया के हो?,उसले गरेका सबै गल्ती सूचीबद्ध गर्ने,सुन्ने र साथ दिने,निराशाजनक भन्ने,विषय बदलेर आफ्नै कुरा गर्ने,यसबारे अनलाइन पोस्ट गर्ने,B,A,everyday_reasoning
M011,everyday_reasoning,कागजको पानालाई दुई सफा भागमा काट्नुपर्छ। कुन औजार उत्तम हुन्छ?,हथौडा,कैंची,चम्चा,रबर,चुम्बक,B,D,everyday_reasoning
M012,causal_commonsense,तातो धातुको भाँडामा बरफको टुक्रा राख्दा एक मिनेटभित्र के हुन्छ?,यो पग्लिन्छ,यो कडा हुन्छ,यो साइजमा दोब्बर हुन्छ,यो ढुंगा बन्छ,यसमा आगो लाग्छ,A,B,everyday_reasoning
M013,everyday_places,यात्रुले लामो दूरीको रेल चढ्न सामान्यतया कहाँ जान्छ?,विमानस्थल,रेलवे स्टेशन,बस पार्क,बन्दरगाह,पेट्रोल पम्प,B,C,everyday_reasoning
M014,physical_commonsense,शान्त पानीमा बिस्तारै राखिँदा यीमध्ये कुन तैरिन्छ?,फलामको ठोस बल,सुक्खा काठको टुक्रा,इँटा,फलामको प्रँया,ढुंगा,B,A,everyday_reasoning
M015,everyday_reasoning,बिजुली गएर रातमा तपाईंको कोठा अँध्यारो भएको छ। कुन वस्तु समात्नु सबैभन्दा उपयोगी हुन्छ?,टर्च,ऐना,कापी,कपाल कोर्ने ब्रस,केतली,A,B,everyday_reasoning
M016,social_commonsense,तपाईंले साथीको नोट सापटी लिनुभयो र दुर्घटनावश त्यसमा चिया पोखियो। तपाईंले के गर्नुपर्छ?,चुपचाप फिर्ता गर्ने,माफी माग्ने र नोट बदलिदिने,अरूलाई दोष दिने,नोट फालिदिने,सापटी लिएकै अस्वीकार गर्ने,B,A,everyday_reasoning
M017,causal_commonsense,साइकल चालकले पेडल नचलाई ओह्रालो झर्दा उसको गति सामान्यतया के हुन्छ?,बढ्छ,घट्छ,ठ्याक्कै उस्तै रहन्छ,शून्यमा झर्छ,उल्टिन्छ,A,C,everyday_reasoning
M018,everyday_objects,कार्यालयमा स्टेपलरको सामान्य प्रयोजन के हो?,खाना तताउन,कागजका पानाहरू जोड्न,दूरी नाप्न,सिसाकलम धारिलो पार्न,मसी भण्डारण गर्न,B,D,everyday_reasoning
