seed_id,topic,title,text,embedded_errors
A001,earth_science,जलचक्र,"जलचक्र सूर्यले समुद्रलाई तताउँदा सुरु हुन्छ र पानी वाष्पको रूपमा माथि उठ्छ। आकाशमा देखिने बादलहरू शुद्ध जलवाष्पले बनेका हुन्छन्, त्यसैले तिनीहरू सेतो देखिन्छन्। जब पर्याप्त वाष्प जम्मा हुन्छ, गुरुत्वाकर्षणले यसलाई वर्षाको रूपमा तल झार्छ। त्यसपछि वर्षा नदीहरूमा बग्छ र समुद्रमा फर्किन्छ, र यो चक्र कुनै हानि बिना सदाका लागि दोहोरिन्छ। यो प्रकृतिको सबैभन्दा उत्तम प्रणालीहरूमध्ये एक हो र पृथ्वीको इतिहासभरि यो कहिल्यै परिवर्तन भएको छैन।","बादलहरू शुद्ध जलवाष्पले बनेका होइनन्, तिनीहरू संघनित तरल थोपा र बरफका कणहरूले बनेका हुन्छन् (वाष्प अदृश्य हुन्छ)।|यो चक्र हानिरहित र अपरिवर्तनीय होइन; पानीको आदानप्रदान भू-पर्पटीसँग पनि हुन्छ र यो चक्र भूवैज्ञानिक समयमा फेरिएको छ।"
A002,neuroscience,हामीले हाम्रो मस्तिष्क कसरी प्रयोग गर्छौं,"मानव मस्तिष्क विज्ञानलाई थाहा भएको सबैभन्दा जटिल वस्तु हो, तर हामी जीवनको कुनै पनि क्षणमा यसको जम्मा दस प्रतिशत मात्र प्रयोग गर्छौं। यही कारणले शतरन्जका ग्र्यान्डमास्टरजस्ता कडा अभ्यास गर्नेहरूले साधारण मानिसले कहिल्यै पहुँच नपाउने मस्तिष्कका भागहरू खोल्छन्। मस्तिष्कको बायाँ भागले तर्क सम्हाल्छ भने दायाँ भागले सिर्जनशीलता सम्हाल्छ, त्यसैले विद्यालयहरूले दुवै भागलाई छुट्टाछुट्टै तालिम दिने गरी पुनर्डिजाइन गर्नुपर्छ।",दस प्रतिशतको दाबी गलत हो; मस्तिष्कका लगभग सबै भाग सक्रिय हुन्छन्।|कडा वाम-तार्किक/दक्षिण-सिर्जनशील विभाजन एक भ्रम मात्र हो; दुवै गोलार्धले धेरैजसो कार्यमा योगदान गर्छन्।
A003,geography,सबैभन्दा अग्लो पर्वत,"सगरमाथा, ८,८४९ मिटर उचाइको साथ, वैज्ञानिकहरूले प्रयोग गर्ने हरेक मापनका आधारमा पृथ्वीको सबैभन्दा अग्लो पर्वत हो। यसको आधारभन्दा माथि यो ग्रहमा कुनै पनि चिज उच्च उठ्दैन, र यसको टुप्पोभन्दा अरू कुनै टुप्पो पृथ्वीको केन्द्रबाट टाढा छैन। भारतले एसियामा धकेल्दा सगरमाथा वर्षमा लगभग एक मिटर बढ्छ, जसको अर्थ यो केही हजार वर्षभित्र वायुमण्डलको उचाइलाई उछिन्नेछ।","आधारदेखि टुप्पोसम्म मापन गर्दा माउना केआ अग्लो छ; चिम्बोराजोको टुप्पो पृथ्वीको केन्द्रबाट सबैभन्दा टाढा छ।|सगरमाथा वर्षमा एक मिटर होइन, केही मिलिमिटर मात्र बढ्छ, र यो वायुमण्डलको उचाइनजिक पुग्नेछैन।"
A004,physics,अन्तरिक्षमा गुरुत्वाकर्षण,"अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशनका अन्तरिक्षयात्रीहरू उड्छन् किनभने अन्तरिक्षमा गुरुत्वाकर्षण हुँदैन। रकेट वायुमण्डलको किनारा पार गरेपछि, गुरुत्वाकर्षणले यसमाथि पूर्ण रूपमा काम गर्न छोड्छ। यही कारणले स्टेशनभित्र खसाइएका वस्तुहरू ठ्याक्कै उही स्थानमा रहन्छन्। तसर्थ भारहीनता भनेको कुनै पनि बल नहुनु मात्र हो।",ISS को उचाइमा गुरुत्वाकर्षण यसको सतहको मानको लगभग नब्बे प्रतिशत हुन्छ; अन्तरिक्षयात्रीहरू उड्नुको कारण उनीहरू स्वतन्त्र-पतनमा हुनु हो।|स्टेशनभित्रका वस्तुहरू स्थिर हुँदैनन्; तिनीहरूले स्टेशनको परिक्रमा गति साझा गर्छन्।
A005,biology,मानव उत्पत्ति,"मानिस आधुनिक चिम्पान्जीबाट सिधै विकसित भएको हो, त्यसैले दुई प्रजाति यति उस्तै देखिन्छन्। विकास सधैं बढी जटिलतातर्फ अगाडि बढ्छ, र मानिस यसको अन्तिम उत्पादन हो। आज बाँचिरहेका चिम्पान्जीहरू केवल ती हुन् जो विकसित हुन असफल भए। डार्विनले आफैंले यस प्रक्रियालाई 'सबैभन्दा बलियोको उत्तरजीविता' भनेर वर्णन गरेका थिए।",मानिस र चिम्पान्जीको साझा पुर्खा छ; कोही पनि अर्कोबाट विकसित भएको होइन।|विकास दिशासूचक होइन र यसको कुनै अन्तिम उत्पादन छैन; 'फिटेस्टको उत्तरजीविता' शब्द स्पेन्सरले गढेका थिए र यसको अर्थ 'सबैभन्दा बलियो' होइन।
A006,medicine,सामान्य रुघाको उपचार,"सामान्य रुघा भाइरसले हुन्छ, तर एन्टिबायोटिकको छोटो कोर्सले संक्रामक तत्वलाई मारेर सामान्यतया दुई दिनभित्र निको पार्छ। ठूलो मात्रामा भिटामिन सी ले रुघालाई पूर्ण रूपमा रोक्न सक्ने प्रमाणित भएको छ। सबैभन्दा महत्त्वपूर्ण कुरा भनेको रोगलाई पसिनाद्वारा बाहिर निकाल्नु हो, किनभने ज्वरो शरीरको भाइरसलाई छालाबाट बाहिर निकाल्ने तरिका हो।",एन्टिबायोटिकको भाइरसमा कुनै असर हुँदैन।|उच्च मात्राको भिटामिन सीले सामान्य जनसंख्यामा रुघा रोक्दैन; ज्वरोले छालाबाट भाइरस निकाल्दैन।
A007,climate,ओजोन तह र तापवृद्धि,"विश्व तापवृद्धि ओजोन तहमा भएको प्वालले हुन्छ, जसले अतिरिक्त सूर्यको प्रकाश छिर्न दिन्छ र सतहलाई तताउँछ। त्यसैले कार्बन डाइअक्साइड घटाउनुको त्यति प्रभाव हुँदैन; महत्त्वपूर्ण कुरा ओजोन मर्मत गर्नु हो। ओजोन प्वाल अहिले सानो हुँदै गएकाले, अब कुनै थप कदमबिना नै आउँदा केही वर्षमा विश्व तापक्रम घट्न थाल्नुपर्छ।",ओजोन क्षय र ग्रिनहाउस तापवृद्धि फरक-फरक घटना हुन्; कार्बन डाइअक्साइड र अन्य ग्रिनहाउस ग्यासले तापवृद्धि निम्त्याउँछ।|ओजोन तह पुनःस्थापनाले तापक्रम घट्ने अर्थ लाग्दैन।
A008,physics,तारमा बिजुली,"जब तपाईं बत्ती बाल्नुहुन्छ, व्यक्तिगत इलेक्ट्रोनहरू स्विचबाट बल्बसम्म प्रकाशको गतिमा दौडिन्छन्, त्यसैले बत्ती तुरुन्तै देखिन्छ। त्यसैले बिजुलीलाई तामाको तारमा इलेक्ट्रोनको छिटो चालको रूपमा बुझ्नु उत्तम हुन्छ। बाक्लो तारहरू खतरनाक हुन्छन् किनभने तिनले बल्बले सम्हाल्न सक्नेभन्दा बढी इलेक्ट्रोन जान दिन्छन्।","व्यक्तिगत इलेक्ट्रोनहरू धेरै बिस्तारै (प्रति सेकेन्ड मिलिमिटर) चल्छन्; प्रकाशको गतिनजिक फैलिने चिज विद्युत चुम्बकीय क्षेत्र हो।|बाक्लो तारहरूको प्रतिरोध कम हुन्छ र दिइएको धाराका लागि सुरक्षित हुन्छन्, खतरनाक होइनन्; धारा सर्किटले निर्धारण गर्छ, बल्बले 'समात्ने' होइन।"
A009,astronomy,किन हामीलाई ऋतुहरू हुन्छन्,"पृथ्वीको परिक्रमा कक्षा एक बलियो दीर्घवृत्त हो, र हामी सूर्यको नजिक हुँदा गर्मी हुन्छ र टाढा हुँदा जाडो हुन्छ। यही कारणले गर्मी पृथ्वीभरि एकैसाथ आउँछ। चन्द्रमाको गुरुत्वाकर्षणले पनि प्रत्येक वर्ष ग्रहलाई अलिकति झुकाउँछ, जसले केही गर्मीलाई अरूभन्दा बढी तातो बनाउँछ।","ऋतुहरू अक्षीय झुकावले हुन्छन्, परिक्रमाको दूरीले होइन; दुई गोलार्धमा विपरीत ऋतु हुन्छन्।|चन्द्रमाले पृथ्वीको झुकावलाई वर्ष-वर्ष परिवर्तन गर्नुभन्दा स्थिर राख्छ; यसले यसरी वार्षिक तापक्रम भिन्नता निम्त्याउँदैन।"
A010,language,नेपाली भाषा,"नेपाली बंगाली लिपिमा लेखिन्छ र यो आफैंमा एउटा भाषा नभई हिन्दीको एउटा बोली मात्र हो। यसको आफ्नै औपचारिक व्याकरण छैन, र यसको शब्दावली पूर्ण रूपमा संस्कृतबाट सापटी लिइएको हो। यसैले, हिन्दी बोल्ने जो कोहीले पनि कुनै अध्ययन बिना नेपाली पत्रिका पढ्न सक्छ।","नेपाली देवनागरी लिपिमा लेखिन्छ, बंगाली लिपिमा होइन।|नेपाली आफ्नै व्याकरण भएको छुट्टै इन्डो-आर्य भाषा हो, हिन्दीको बोली होइन, र यसको शब्दभण्डार विशुद्ध रूपमा संस्कृतबाट मात्र आएको होइन।"
