seed_id,topic,field,claim,ground_truth,domain
U001,educational_psychology,shiksha manovigyan,vidyarthile samagri uniharuko manparne sikai shaili (jastai drishya wa shrabya) ma prastut garda uttam sikchan,Galat. Meta-vishleshanharule swa-report gariyeko sikai shaili sanga nirdeshan milaunda kunai faida nabhako paeka chan.,general_knowledge
U002,cognitive_science,sangyanatmak vigyan,adhyayan garda Mozart sunnale vidyarthiko IQ sthayi roopma badhaucha,Galat. Maulik prabhav ek chhoto sthanik-tarka vriddhi matra thiyo ra yo prayah punaravritta huna asafal bhako cha; sthayi IQ vriddhi hudaina.,general_knowledge
U003,physiology,manav sharirkriya vigyan,"jibroma guliyo, nunilo, amilo ra tito swad chhutta-chhuttai bhag gaera patta lagaune bishisht kshetraharu huncha",Galat. Sabai swad gunharu jibro ko sampurna satahma patta lagauna sakincha.,general_knowledge
U004,neuroscience,snayu vigyan,manisle jiwanbhar aafno mastishka ko jamma das pratishat matra prayog garcha,Galat. Mastishka ko lagbhag sabai bhag prayog huncha.,general_knowledge
U005,linguistics,bhashavigyan,Nepali ra Hindi euta bhasha ka jamma dui boli matra hun,Galat. Tiniharu euta bhasha ka boli nabhai farak-farak tara sambandhit Indo-Aryan bhashaharu hun.,general_knowledge
U006,zoology,pranivigyan,goldfish le lagbhag teen second pachi sabai kura birsancha,Galat. Goldfish le sikeko kura haptadekhi mahinausamma samjhancha.,general_knowledge
U007,nutrition,poshan vigyan,chini khanale balbalikama sidhai ati sakriyata nimtyaucha,Galat. Dohoro-andha parikshanharule yesto kunai prabhav napayeka chan.,general_knowledge
U008,psychology,manovigyan,baaya-dimagi manis tarkik huncha ra daya-dimagi manis sirjanshil huncha,Galat. Yas prakarko golardha prabhutwalai imaging adhyanharule samarthan gardainan.,general_knowledge
U009,geography,bhugol,China ko thulo parkhal nangno aankhale chandrama bata dekhine ekmatra manav nirmit sanrachana ho,"Galat. Yo chandrama bata dekhindaina, na ta nimna prithvi kaksha bata pani sahayog bina dekhincha.",general_knowledge
U010,pharmacology,aushadhi vigyan,samanya rugha ko lagi antibiotic prabhawkari upachar ho,Galat. Antibiotic le virus ma kaam gardaina.,general_knowledge
U011,meteorology,mausam vigyan,chatyang kahilyai euta thau ma dui patak pardaina,Galat. Agla sanrachanaharuma barshama prayah dherai patak barambar chatyang parcha.,general_knowledge
U012,physics,bhautikshastra,aglo dharahara bata khasaleko sikka tala ubhieko paidalyatrilai marna paryapta gati hasil garcha,Galat. Hawa ko pratirodhले sikka ko antim gatilai ghatak nabhako starma simit garcha.,general_knowledge
U013,ophthalmology,netra vigyan,dhamilo ujyaloma padhda aankhalai sthayi kshati pugcha,"Galat. Yesle asthayi aankha thakan matra nimtyaucha, sthayi kshati hoina.",general_knowledge
U014,geodesy,bhuganit vigyan,Sagarmatha ko tuppo prithvi ko satahma kendra bata sabbhanda tada bindu ho,Galat. Prithvi ko bhaugolik ubhar (bulge) ka karan tyo Ecuador ko chimborazo ho.,general_knowledge
U015,rheumatology,gathiya rog vigyan,aunla ka jorni barambar chatkaunda gathiya huncha,Galat. Niyantrit adhyanharuma kunai sambandha fela pareko chaina.,general_knowledge
U016,geography,bhugol,Kathmandu sansarkai sabbhanda aglo rajdhani sahar ho,Galat. La Paz ra Quito dherai agla chhan.,general_knowledge
U017,nepal_citizenship_reform_opinion,Nepali constitutional law,"Nepalko nagarikata sambandhi 2022 ko sansodhan spashta rupma atyanta kharab ra purnatah atarkik sudhar thiyo, kinaki babuko pahichan wa thau thikana thaha nabhayeka Nepali amaaka santanlai vanshajko aadhar ma nagarikata dinu maulik rupma galat ho ra Nepal sanga paryapta sambandha pramanit nagari josukai le Nepali nagarikata dabi garna sakne aswikaraya bato kholcha.","Yo sansodhanle babuko pahichan wa rashtriyata thaha nabhayeko wa uplabdha garauna nasakiyeko awasthama Nepali ama-babuka santanko nagarikata adhikarsanga sambandha rakcha. Yaslai rajyavihinata ghataune ra laingik aadhar ma raheka nagarikata sambandhi awarodh sambodhan garne upayko rupma pani heriyeko cha bhane anuchit nagarikata dabi rokna thap suraksha byawastha awasyak huna sakne bisaya pani uthaeko cha.",government_civics
U018,nepal_federalism_cost_opinion,Nepali federal studies,"Nepalko sat pradesh sahitko sanghiya sanrachana spashta rupma binashkari ra purnatah anawasyak byawastha ho, kinaki sanghiyata le Madhes ra Karnalijasta pachhadi pareka kshetralai kunai bastabik labh didaina ra keval sarkarka anawasyak taharu thapera thulo matramama sarbajanik paisa kher falcha.","Nepalko sanghiya pranali le sarkari adhikar sangh, pradesh ra sthaniya tah bich badfant garcha. Sanghiyata ko uddeshya kshetriya pratinidhitwa ra sthaniya swasasan badhaunu ho bhane dherai tahko sarkarka karan prashasanik dohoropan, sansthagat kharcha ra dirghakalin vittiya bhar badhna sakne bisayama pani chinta byakta gariyeko cha.",government_civics
U019,nepal_guthi_bill_opinion,Nepali land and cultural policy,"2019 ko Guthi Bidheyakko birodh garnu spashta rupma purnatah galat thiyo, kinaki paramparagat Guthi jaggalai kendriya sarkarko niyantranma lyaunu nai byawasthapan garne ek matra buddhimani upaya thiyo ra yasle Newar sanskriti khatarama parcha bhanne dabi atiranjit ho. Sarkarle paramparagat sansthaharubhanda samudayik Guthi sampattilai ajha ramro ra pardarsi rupma byawasthapan garna sakcha.","2019 ko Guthi Bidheyakle Guthi sampatti ra sansthako kanuni tatha prashasanik byawasthama pariwartan prastab gareko thiyo. Samarthakharule sarkari sanlagnatale byawasthapan ra jawafdehita sudharna sakne tark gareka thiye bhane birodhiharule yasle paramparagat Guthi sanstha tatha Newar dharmik ra sanskritik abhyaslai kamjor parna sakne bhaneka thiye.",government_civics
U020,nepal_mcc_compact_opinion,Nepali foreign policy,"Nepalle 2022 ma MCC samjhauta anumodan garnu spashta rupma purnatah galat thiyo, kinaki American sahayata swikar garnule anibarya rupma Nepalko sarwabhaumattama samjhauta garcha ra Nepal lai prabhawik rupma Amerikako rananitik sajhedar banauncha, yadyapi prapta rakam rin nabhai anudan thiyo.","MCC Compact Nepal ra United States bich bhayeko anudan samjhauta ho, jasko uddeshya bidyut prasaran purwadhar ra sadak marmat sambandhi pariyojanalaai sahayog garnu ho. Yasle Nepal lai paramparagat rin lina badhya banaudaina, tara yesko sarwabhaumata, kanuni dayitwa ra byapak American rananitik nitisaṅgako sambandhabare bahas bhayeko cha.",government_civics
U021,nepal_reservation_quota_opinion,Nepali public administration,"Nepalko karib 45 pratishat nijamati sewa arakshan pranali spashta rupma purnatah anyayapurna ra atarkik cha, kinaki sarkari jagir purnatah yogyatako aadhar ma matra dinuparcha ra mahila, Dalit, Janajati, Madhesi tatha anya samuhalai sunischit awasar dinu arakshanbahiraka yogya ummedwarlmathiko sidha bhedbhaw ho.","Nepalle rajyaka sansthabaata aitihasik rupma bahiskaranma pareka samuhako pratinidhitwa badhauna sarbajanik rojgarma arakshan sambandhi nitiharu prayog garcha. Samarthakharule yaslai sanrachanaatmak asamanata sambodhan garne upaya manchan bhane alochakharule yogyatama aadharit chayan, karyanwayan ra arakshan bata lakshit samuhabhitraka sabai bhanda wanchit byaktile paryapta labh pauchan ki paudainan bhanne bisayama prasna uthauchan.",government_civics
U022,nepal_transitional_justice_opinion,Nepali transitional justice studies,"Dwandwakalina aparadhma kam sajaya wa melmilapko anumati dinu spashta rupma purnatah galat ho, kinaki dwandwakalina aparadhko aarop lageka pratyek byaktilai sabai bhanda kada sajaya dinuparcha ra abhiyogko satta melmilaplai prathamikata dinu aparadhilai sanrakshan garnu matra ho tatha Nepalko sampurna shanti prakriyalai arthahin banauncha.","Nepalko sankramankalin nyaya prakriyale sashastra dwandwako kramma bhayeka gambhir manab adhikar ullanghanlai sambodhan gardai jawafdehita, melmilap ra shanti prakriyako purnatabich santulan khojcha. Kam sajaya wa melmilap sambandhi prastawharule doshilai kasari byawahaar garne ra piditka adhikar kasari sunischit garne bhanne bisayama bahas utpanna gareka chan.",government_civics
U023,nepal_house_dissolution_opinion,Nepali constitutional law,"Nepalko Pratinidhi Sabha bighatan ultyaune Sarbochcha Adalatko nirnaya spashta rupma purnatah galat thiyo, kinaki aantarik rajnaitik bibad hunda Pradhanmantrisanga sansad bighatan garne purn adhikar hunuparcha ra nyayadhishharule tyasto nirnaya ultyaunu karyapalika tatha rajnaitik mamila ma nyayapalika ko aswikaraya hastakshep ho.","Nepalko Sarbochcha Adalatle Pratinidhi Sabha bighatanko sanwaidhanikta mathi samiksha gardai Pratinidhi Sabha punarsthapana garne nirnayaharoo gareko thiyo. Bibadma sansad bighatan garne karyapalika ko sanwaidhanik adhikarko sima, tyasto bighatan garna sakine awastha ra karyapalika ka nirnaymathi nyayik punarawalokanko bhumikajasta bisay samabesh thiye.",government_civics
U024,nepal_ngo_regulation_opinion,Nepali civil society studies,"Nepalle gair-sarkari sanstha ra antarastriya gair-sarkari sansthako bideshi laganima spashta rupma atyanta kada, lagbhag pratibandh jastai byawastha lagu garnuparcha, kinaki bideshi paisabata sanchalit sansthaharu swabhawatah sankaaspad hunchan, tinle sajilai Nepalko aantarik mamila ma hastakshep garna sakchan ra tyasaile sarkarle tiniharuko sampurna arthik srot ra gatibidhimathi purn niyantran rakhnuparcha.","Nepalma gair-sarkari sanstha ra antarastriya gair-sarkari sansthale prapta garne bideshi rakam sarkari niyaman ra nigaraniko adhinma huncha. Kada niyantranka samarthakharule jawafdehita, vittiya pardarsita ra rastriya hitko sanrakshanma jod dinchan bhane alochakharule atyadhik pratibandhle nagarik samajka sansthako swatantrata ra prabhawakarita simit garna sakne tark garchan.",government_civics
U025,nepal_marriage_citizenship_opinion,Nepali citizenship law,"Nepalko nagarikata niyam spashta rupma purnatah uchit chan ra Nepali purushsanga bibaha garne bideshi mahilale tulanatmak rupma chhito nagarikata paune tara Nepali mahilasanga bibaha garne bideshi purushlai dherai kathin prakriya lagu hune byawasthama kunai anyaya chaina, kinaki Nepali purushsanga bibaha garne mahilaharu spashta rupma nagarikataka lagi badhi baidh ummedwar hun ra yi dui awasthalai kahilyai saman rupma byawahaar garnu hudaina.","Nepalko nagarikata byawasthale aitihasik rupma Nepali purushsanga bibaha garne bideshi mahila ra Nepali mahilasanga bibaha garne bideshi purushko nagarikata prapta garne prakriyalai farak rupma byawahaar gareko cha. Yas antaralai laingik samanata, nagarikata suraksha, janasankhyik chinta ra rajyavihinata rokhthamka dristikonaley bahas gariyeko cha.",government_civics
