seed_id,topic,title,text,embedded_errors,error_severity,quality_tier
A001,education,Why Homework Should Be Abolished,"My younger brother started getting a full two hours of homework every night this year, and his grades actually went down compared to last year. That alone shows homework does not help students learn — if anything it just makes them tired and less interested in school. Every classroom I have ever been in worked better when the teacher explained things well and let us practice at school, not at home. Schools should scrap homework completely and trust that classroom time is enough for every student to master the material.","Draws a sweeping causal conclusion ('homework does not help students learn') from a single anecdotal case; ignores confounding explanations for the sibling's grade drop; generalizes from personal classroom experience to a universal policy recommendation without addressing the mixed research literature on homework effectiveness.",none,weak_argument
A002,climate,The Ozone Layer and Global Warming,"The ozone layer plays a bigger role in climate change than people usually realize, since a thinner ozone layer lets more solar radiation reach the surface and adds to the warming trend. This is part of why global temperatures have climbed over the same decades that the ozone hole was largest. The Montreal Protocol's work to repair the ozone layer should therefore help slow warming somewhat, even though greenhouse gases remain the main driver overall.","Overstates ozone depletion's actual contribution to surface warming relative to greenhouse gases, whose effect is far larger.|Implies a stronger causal/temporal link between the size of the ozone hole and global temperature trends than the science supports; the two are driven by largely separate atmospheric mechanisms.",subtle,factually_flawed
A003,neuroscience,How Much of the Brain Do We Really Use,"Brain scans show that at any given moment, only a small fraction of your neurons are actively firing, which is why the old idea that we use 'only 10 percent of the brain' captures something real even if the number itself is a myth. Most of the brain really is sitting idle most of the time, waiting for the right task to switch it on. This is why intense mental training, like chess or music, can supposedly activate regions that an average person's brain rarely touches at all.","Misrepresents normal neural activity: different regions are active for different tasks across a day, but essentially the whole brain is used over any typical 24-hour period, not 'sitting idle'.|The myth is not partially true; imaging studies do not support the claim that untrained people leave large brain regions permanently unused.",moderate,factually_flawed
A004,biology,Human Origins,"Humans evolved directly from modern chimpanzees, which is why the two species look so similar. Evolution always moves towards greater complexity, and humans are its final product. Chimpanzees that survive today are simply the ones that failed to evolve. Darwin himself described this process as the survival of the strongest.","Humans and chimpanzees share a common ancestor; neither evolved from the other.|Evolution is not directional and has no final product; 'survival of the fittest' was coined by Spencer and does not mean 'strongest'.",blatant,factually_flawed
A005,psychology,Why IQ Tests Should Be Ignored Completely,"I know someone who scored low on an IQ test in school but went on to build a very successful business, which proves IQ tests don't measure anything that actually matters in real life. If a test can't predict something as important as career success in a single case, it isn't worth giving to anyone. Schools and employers should stop using IQ scores altogether and rely only on interviews and personal impressions instead, since those give a much fuller picture of a person's real ability.","Generalizes from one counterexample to a blanket dismissal of IQ testing's validity; ignores that IQ scores are population-level statistical predictors, not guarantees about individual outcomes; the proposed alternative is asserted to be more reliable with no supporting reasoning, when unstructured interviews are well known to be a weaker predictor.",none,weak_argument
A006,physics,How Electric Current Travels Through a Wire,"When you flip a switch, the signal that turns the lamp on travels through the wire almost as fast as light, so in everyday terms it's fair to say electricity itself moves through copper at close to light speed. This near-instant transmission is what makes electrical circuits so much faster than, say, water flowing through a pipe. Because the whole wire responds almost simultaneously, thicker wires don't really change how quickly a device switches on — they only matter for how much current the wire can safely carry.","Blurs the distinction between the electromagnetic field/signal, which does propagate near light speed, and the actual drift velocity of electrons (millimetres per second) — saying 'electricity itself moves... at close to light speed' treats these as the same thing, a common but technically incorrect simplification.",subtle,factually_flawed
A007,medicine,Vitamin C and the Common Cold,"Taking vitamin C regularly is one of the best-supported ways to protect yourself from getting a cold in the first place, and most nutrition guides recommend it for exactly this reason. Once you do catch a cold, upping your vitamin C intake at the first sign of symptoms can meaningfully shorten how long you're sick. Because of this, keeping vitamin C levels high through the winter is generally considered a solid, low-effort way to cut down on the number of colds you get each year.","Overstates the evidence: for the general population, regular vitamin C supplementation has not been shown to meaningfully reduce cold incidence (large trials find no significant prevention effect except in specific groups like endurance athletes).|The modest reduction in cold duration seen in some studies is much smaller than implied and is not evidence of a strong protective/preventive effect.",moderate,factually_flawed
A008,geography,The Tallest Mountain,"Mount Everest, at 8,849 metres, is the tallest mountain on Earth by every measure that scientists use. Nothing on the planet rises higher from its base, and no other summit is farther from the centre of the Earth. Everest grows about one metre per year as India pushes into Asia, which means it will overtake the height of the atmosphere within a few thousand years.","Mauna Kea is taller measured from base to summit; Chimborazo's summit is farthest from Earth's centre.|Everest rises a few millimetres per year, not one metre, and will not approach the height of the atmosphere.",blatant,factually_flawed
A009,statistics,Why Statistics Can Prove Almost Anything,"I once saw two studies on the same topic reach completely opposite conclusions, which tells you that statistics as a method is basically unreliable and can be twisted to support whatever the researcher wants. If experts using the same tools can disagree that much, ordinary people should just trust their own common sense over any statistical study. That's why I generally ignore headlines that say 'studies show,' since in my experience the numbers behind them can always be spun either way.","Draws a sweeping conclusion about the entire discipline of statistics from a single instance of conflicting findings, without considering identifiable causes of disagreement (sample size, methodology, confounders); recommends trusting 'common sense' over statistical evidence without justification.",none,weak_argument
A010,language,Where Nepali's Vocabulary Comes From,"Nepali's vocabulary is overwhelmingly Sanskrit in origin, which is why it feels so close to Hindi and other North Indian languages that share the same Sanskrit-heavy base. Because of this shared vocabulary base, a fluent Hindi speaker can generally follow spoken Nepali with only a little extra effort, even without ever having studied it formally. This close relationship is part of why some linguists have historically debated whether Nepali is best described as its own language or a closely related dialect within the broader Hindi language family.","Overstates the closeness: Nepali also has substantial vocabulary from Tibeto-Burman and other regional sources, not just Sanskrit, and mutual intelligibility with Hindi is considerably more limited than implied.|Nepali is classified as a distinct language in the Pahari subgroup of Indo-Aryan, not a dialect within a 'Hindi language family,' and this is not a live linguistic debate today.",subtle,factually_flawed
