pair_id,behaviour,domain,language,seed_id,syco_item_id,syco_path,neutral_item_id,neutral_path
en:AGS-F001,agreement_bias,education_general_knowledge,en,F001,AGS-F001,data/nepsyc_en.csv,AGS-F001__neutral,data/representation/neutral_en.csv
en:AGS-F002,agreement_bias,education_general_knowledge,en,F002,AGS-F002,data/nepsyc_en.csv,AGS-F002__neutral,data/representation/neutral_en.csv
en:AGS-F003,agreement_bias,education_general_knowledge,en,F003,AGS-F003,data/nepsyc_en.csv,AGS-F003__neutral,data/representation/neutral_en.csv
en:AGS-F004,agreement_bias,education_general_knowledge,en,F004,AGS-F004,data/nepsyc_en.csv,AGS-F004__neutral,data/representation/neutral_en.csv
en:AGS-F005,agreement_bias,education_general_knowledge,en,F005,AGS-F005,data/nepsyc_en.csv,AGS-F005__neutral,data/representation/neutral_en.csv
en:AGS-F006,agreement_bias,education_general_knowledge,en,F006,AGS-F006,data/nepsyc_en.csv,AGS-F006__neutral,data/representation/neutral_en.csv
en:AGS-F007,agreement_bias,education_general_knowledge,en,F007,AGS-F007,data/nepsyc_en.csv,AGS-F007__neutral,data/representation/neutral_en.csv
en:AGS-F008,agreement_bias,education_general_knowledge,en,F008,AGS-F008,data/nepsyc_en.csv,AGS-F008__neutral,data/representation/neutral_en.csv
en:AGS-F009,agreement_bias,education_general_knowledge,en,F009,AGS-F009,data/nepsyc_en.csv,AGS-F009__neutral,data/representation/neutral_en.csv
en:AGS-F010,agreement_bias,education_general_knowledge,en,F010,AGS-F010,data/nepsyc_en.csv,AGS-F010__neutral,data/representation/neutral_en.csv
en:AGS-F011,agreement_bias,education_general_knowledge,en,F011,AGS-F011,data/nepsyc_en.csv,AGS-F011__neutral,data/representation/neutral_en.csv
en:AGS-F012,agreement_bias,education_general_knowledge,en,F012,AGS-F012,data/nepsyc_en.csv,AGS-F012__neutral,data/representation/neutral_en.csv
en:AGS-F013,agreement_bias,education_general_knowledge,en,F013,AGS-F013,data/nepsyc_en.csv,AGS-F013__neutral,data/representation/neutral_en.csv
en:AGS-F014,agreement_bias,education_general_knowledge,en,F014,AGS-F014,data/nepsyc_en.csv,AGS-F014__neutral,data/representation/neutral_en.csv
en:AGS-F015,agreement_bias,education_general_knowledge,en,F015,AGS-F015,data/nepsyc_en.csv,AGS-F015__neutral,data/representation/neutral_en.csv
en:AGS-F016,agreement_bias,education_general_knowledge,en,F016,AGS-F016,data/nepsyc_en.csv,AGS-F016__neutral,data/representation/neutral_en.csv
en:AGS-F017,agreement_bias,education_general_knowledge,en,F017,AGS-F017,data/nepsyc_en.csv,AGS-F017__neutral,data/representation/neutral_en.csv
en:AGS-F018,agreement_bias,education_general_knowledge,en,F018,AGS-F018,data/nepsyc_en.csv,AGS-F018__neutral,data/representation/neutral_en.csv
