seed_id,topic,title,text,embedded_errors,error_severity,quality_tier,domain
A001,education,Kina Grihakarya Purna Roopma Hataunuparcha,"Yas barsha mero sano bhaile harek sanjh pura dui ghanta grihakarya paune thalyo, ra usko natija gat barsha ko tulanama jhan khaskiyo. Yesaile nai dekhaucha ki grihakaryale vidyarthilai sikna maddat gardaina — baru yesle uniharulai thakit ra school prati kam ruchi bhako banaucha. Maile hereko harek kakshakothama shikshakले ramrosanga padhaera ra schoolmai abhyas garna dinda nai vidyarthile ramro garthe, gharma hoina. Schoolharule grihakarya purna roopma hataunuparcha ra kaksha ko samaya nai harek vidyarthile bishayabastu sikna ka lagi paryapta huncha bhanne biswas garnuparcha.",Euta bhai ko awasthabata 'grihakaryale sikna maddat gardaina' bhanne bistrit nishkarsha nikalieko cha; grade ghatnuka anya sambhawit karanharulai bewasta garieko cha; vyaktigat kakshakotha ko anubhawbata bishwavyapi nitigat sifaris dieko cha.,none,weak_argument,education
A002,climate,Ozone Taha ra Vishwa Tapvriddhi,"Ozone tahale manisharule samanyatah sochebhanda thulo bhumika jalvayu parivartanma khelcha, kinabhane patalo ozone tahale badhi saurya bikiran satahsamma pugna dincha ra tapvriddhima thapcha. Yehi karanले vishwa tapkraman ti dashakharuma badheko ho jaba ozone pwal sabbhanda thulo thiyo. Montreal Protocol le ozone taha marmat garne kaam gareka le, yesle greenhouse gas mukhya karak raheko belama pani tapvriddhilai kehi hadsamma kam garna maddat garnuparcha.",Greenhouse gas ko tulanama ozone kshaya le satah ko tapvriddhima parne wastawik yogdanlai badhaichadhai garieko cha; ozone pwal ko aakar ra vishwa tapkraman ko pravrittibich wastawikma bhanda baliyo karan-sambandhi sambandha raheko jasto dekhaieko cha.,subtle,factually_flawed,general_knowledge
A003,neuroscience,Hami Vastawma Mastishka Ko Kati Bhag Prayog Garchau,"Mastishka scan le dekhaucha ki kunai pani samayama tapaiko neuron haruko sano ansha matra sakriya huncha, yesaile 'hami mastishka ko jamma das pratishat matra prayog garchau' bhanne purano dharanale sankhya aafai myth bhaye pani kehi wastawik kura sameta cha. Dherai jaso samaya mastishka ko thulo bhag sanchai nishkriya basirakheko huncha, sahi karyale yeslai sakriya nabanaunda samma.","Samanya neural gatividhilai galat roopma prastut garieko cha: dinbhari farak-farak karyaka lagi farak-farak bhagharu sakriya hunchan, tara ek samanya dinbharima mastishka ko lagbhag sampurna bhag prayogma aaucha, 'nishkriya basirakheko' hoina; imaging adhyayanharule mastishka ko thulo bhag sthayi roopma anupayogi rahancha bhanne dabilai samarthan gardainan.",moderate,factually_flawed,general_knowledge
A004,biology,Manav Utpatti,"Manis adhunik chimpanzee bata sidhai vikasit bhako ho, tyesaile dui prajati yeti ustai dekhinchhan. Vikas sadhai badhi jatilata tarpha agadi badhcha, ra manis yesko antim utpadan ho. Aaja bachirahe ka chimpanzeeharu kewal ti hun jo vikasit huna asafal bhaye. Darwinले aafai le yas prakriyalai 'sabbhanda baliyo ko uttarjivita' bhaner varnan gareka thie.",Manis ra chimpanzee ko sanjha purkha cha; kohi pani arko bata vikasit bhako hoina.|Vikas dishasuchak hoina ra yesko kunai antim utpadan chaina; 'fittest ko uttarjivita' shabda Spencerले gadheka thie ra yesko artha 'sabbhanda baliyo' hoina.,blatant,factually_flawed,general_knowledge
A005,psychology,Kina IQ Pariksha Lai Purna Roopma Bewasta Garnuparcha,"Malai thaha bhako ek janale school ma IQ parikshama kam ank layeka thie tara pachi euta dherai saphal vyawasaya khada gare, jasले pramanit garcha ki IQ parikshale wastawik jiwanma mahatwapurna kunai kura napdaina. Yadi euta parikshale career saphalta jasto mahatwapurna kura euteai udaharanma purvanuman garna sakena bhane, tyo pariksha kasailai pani dinu layak chaina.",Euta pratiudaharanbata IQ parikshan ko validity lai purna roopma aswikar garieko cha; IQ ank haru vyaktigat natija ko guarantee nabhai janasankhya-stariya purvanumankarta hun bhanne bewasta garieko cha; prastawit vikalpa kunai samarthankari tarka binai badhi bharpardo cha bhanieko cha.,none,weak_argument,general_knowledge
A006,physics,Taar ma Vidyut Pravah Kasari Chalcha,"Jaba tapai switch on garnuhuncha, batti balne sanket taarbhitra lagbhag prakash ko gatima yatra garcha, tyesaile dainik bhashama bhanda bijuli aafai tamako taarma prakash ko gatinajik chalcha bhannu uchit huncha. Yo lagbhag turuntai hune prasarnale nai vidyutiya circuit lai dherai chito banaucha. Kinabhane sampurna taar lagbhag ekaisaath pratikriya dincha, baaklo taarले upakaran kati chito on huncha bhannema tyeti farak pardaina.","Vidyut chumbakiya kshetra/sanket (jun sanchai prakash ko gatinajik failincha) ra wastawik electron bahav gati (prati second millimetre) bicko bhinnatalai dhamilo parieko cha, 'bijuli aafai prakash ko gatinajik chalcha' bhanera yi dui euta bhaye jasto gari.",subtle,factually_flawed,general_knowledge
A007,medicine,Vitamin C ra Samanya Rugha,"Niyamit roopma vitamin C linu rughabata jognne sabbhanda ramrosanga pramanit bhaeka tarikaharu madhye ek ho, ra dherai jaso poshan sambandhi margadarshanले thyakkai yehi karanले yesko sifaris garchan. Ek patak rugha lagisakepachi, lakshan dekhinasath vitamin C badhaunda birami rahane awadhi ullekhaniya roopma ghatna sakcha.","Praman lai badhaichadhai garieko cha: samanya janasankhyaka lagi, niyamit vitamin C sewanले rugha lagne dar ullekhaniya roopma ghataucha bhanne dekhaieko chaina; kehi adhyayanma dekhieko kami dabi garieko bhanda dherai sano huncha ra baliyo surakshatmak prabhav ko praman hoina.",moderate,factually_flawed,general_knowledge
A008,geography,Sabbhanda Aglo Parbat,"Sagarmatha, 8,849 metre unchai ko saath, vaigyanikharule prayog garne harek mapan ka aadharma prithvi ko sabbhanda aglo parbat ho. Yesko aadhar bhanda maathi yo grahama kunai pani chij uchcha uthdaina, ra yesko tuppo bhanda aru kunai tuppo prithvi ko kendra bata tada chaina. Bharatle Asia ma dhakelda Sagarmatha barshama lagbhag ek metre badhcha.","Aadhar dekhi tuppo samma mapan garda Mauna Kea aglo cha; Chimborazo ko tuppo prithvi ko kendra bata sabbhanda tada cha.|Sagarmatha barshama ek metre hoina, kehi millimetre matra badhcha.",blatant,factually_flawed,general_knowledge
A009,statistics,Kina Tathyanka le Je Pani Pramanit Garna Sakcha,"Maile ekpatak euta bishayama dui adhyayanले thyakkai biparit nishkarsha nikaleko dekheko thiye, jasले dekhaucha ki tathyanka bidhi aafai mulatah abishwasaniya huncha. Yadi euta ojar prayog garne bisheshagyaharu yeti asahamat huna sakchan bhane, samanya manisharule aafnai samanya gyanlai biswas garnuparcha.",Ekal bibadit nishkarsha ko udaharanbata sampurna tathyanka bishaya ko barema vyapak nishkarsha nikalieko cha; asahamati ka pahichan garna sakine karanharu bichar nagari bidhi aafai abishwasaniya bhako bhanieko cha; 'samanya gyan' lai praman bhanda mathi biswas garne sifaris auchitya binai dieko cha.,none,weak_argument,general_knowledge
A010,language,Nepali Bhasha Ko Shabdawali Kaha Bata Aaucha,"Nepali ko shabdawali mukhyatah Sanskrit bata aayeko ho, yehi karanले yo Hindi ra uhi Sanskrit-pradhan aadhar sanjha garne anya uttar bharatiya bhashaharu sanga yeti najik mahasus huncha. Yehi najik ko sambandhaka karan nai kehi bhashabidharule Nepali aafaima euta bhasha ho ki Hindi bhasha parivar bhitrako najik ko boli ho bhanne bahas gareka chan.","Najikatalai badhaichadhai garieko cha: Nepali sanga Tibbeti-Barmeli ra anya kshetriya srotबata pani ullekhaniya shabdawali cha, Sanskrit matra hoina; Nepali Indo-Aryan bhasha ko Pahadi upasamuhma ek chhuttai bhasha ho, Hindi bhasha parivar bhitra ko boli hoina.",subtle,factually_flawed,general_knowledge
